BRAIN_root::brainData,ID
"0000001000001000000000001000000100000000000010010000000000001000100000000000000100000000010000000000000001000001000001101000001001001000100001001010000000010000000001000010001000000000000001000100000100000001001000000000111000011000000000000001100000000001001000000010100000001000010010101000010001010000000110000000000000000010000100000001110000000010000000000011000001000100100000000000010000000000000000000100100000000011000000000100000010000000000000000000100000010000000000000100010000000000101000001001001100000100000000000000001000000001110101010000000100000000100010000000001010000010000000000010101100000000000000000010000000010000000000000000000000010000010000000000001110000000100000100001101000000000100000000011010000001001000100010100000001000000101001000000000000000000000000101001010011000000000000000000000000000000000000000000000100000001010000100000000100010000100000100010000000000010000000010000000001000010000010000011000100110010000010001000000010000000000000000010000001000000|31|911^956^943^939",3700040
"0000000011010000000000000000000100000000000000000000000011000010001010000000010100100000010100010000001000000100000000001001000100001010000000100000000000010010000001000000000000000000000000000101001000100101000000000000111010000000000000000001101010000000000000000010010001001010000100000000000000000010100000000000000000000000000100010001110000000010000001000000000000000000100000000010101010000000000000100000000000010011000000000000000010000000000000000001100000000110100000000000010000000000001101001100100100000001000100010000001100000000000101010010000100000000100000000000000100010000000100001010001000000000001000001001100000010000000000000010000001000000010000000000100011000000010000100000010000000000000100000000000100000000000001100100000000000000001000001000010000010100000001000001110000100010000000010000000000000000000000001000000001000001000001001000100000010000000000100010000000100100000101010000000001000010010011000010000100010100000010001000000000000010000010010110010000000110|31|911^956^943^929",3700041
"0000000011010000000000000000000101000000000000000000000011000010001010000000010100100000010000010000001000000100000000001001000100001010000000100000000000010010000000000000000000000000000000000101001000100101000000000000111010000000000000000001101010000000000000000010000000001010000100000000000000000010100000000000000000000000000100010001110000000010000001000000000000000000100000000010101010000000000000101000000000010011000000000000000010000000000000000001100000000110100000000000010000000000001101001100000100000001100100010000001100000000000101010010000100000000100000000000000100010000000100001010001000000000001000001001100000010000000000000010000001000000010000000000100001000000010000100000010000000000000100000000000100000000000001100101000000000000001000001000010000010100000001000001110000100010000000010000000000000000000000001000000001000001000001001000100000010000000000100010000000100100000000010000000001000010010011000010000000010100000010001000000000010010001010010110010000000110|31|911^956^971^929",3700042
"0000000011010000000000000000000100000000000000000000000111000010001010000000010000100000010100110000001100000100000000001001000000001000000000100010000000010010000000000000000000000000000000000101000000100001000000000000111010000000000000000001101010000000000100000010010000001010000100000000000000001010100000000000000000000000000100000001110000000010000001001000000000000000100000000010001010100000001000101000000000010011000000000000000010000000000000000000100000000110100000000000010000000000001101001100100100000001000100010000001100000000000101010000000100000000000000000000000100010000001100001010001000000000001000001001100000010000000001000010000001000000000000000000100001000000010000100000010000000000000100000000100100000000100001100100000000000000001000001000000000010100000001000001110001101010000000010000000000000000000000001000000001000000000001001000100000010000000000100000000000100100000000010001000001000010010011000010000100010000000010001000000000000010001010010100010000000110|31|911^956^943^929",3700043
"0000000011010000000000000000000100000000000000000000000011000010001010000000010000100000010000010000000000000100000000001000000100001010000000000000000000010010000000000000000000000000000000000101001000100101000000001000111010001000000000000001101010000000000000000010010000001010000100000000000000000010100000000000000000000000000100000001110000000010010001000000000000000000100000000010001010100000000000101000000000010011000000000000000010000000000000000001100000000110100000000010010000000000001101001100100100000001000100010100001000000000000101010000000000000000100000000000000100010000000100001010001000000000001000001001100000010000000001000010000001000000010000000000100001000000110000100000010000000000000100000000100100000000000001100100000000000000001000001000100000010100000000000001110000101000000000010000000000000000000000001000000001000001000001001000100000010000000000100010000000000100000000010001000001000010010011000000000100010000000010001000000000000010001010010110010000000100|31|911^956^943^929",3700044
"0000001000001000000000001000000100000000000010010100000000001100100000000000000100000000010000000000000001000000000001101000001001001000100001001010000000010000000001000000001000000000000001000100000100000001001000000000111000011000001000000001100000100001001000000010000000001000010010101000010001010000000100000000000000000010000100000001110000000010000000000011000001000100100000000000011000000000000000000100100000000011000000000100000010000000000000000000100000010000000000000100010000000000101000001001001100000100000000000000001000000001110101010000000100001000100010000000001010000010000000000010101100000000000000000010000000010000000000000000000000010000010000000000001110000000100000100001101000000000100000000011010000001001000100010100000000000000101001000000000000000000000000101001010011000000000000000000000000000000000000000000000100000001010000000000000100010000100000100010000010000010000000010000000001000010000010000011000100110010000010001000000010000000000000000010000001000000|31|911^956^943^939",3700045
"0000000011010000000000000000000100000000001000000000000010000010001010000000010000100000010100010000001000001100000000001001000100001010000000100000000000010010000000000000000000000000010000000001001000100101000000000000111010000000000000000001101010000000000000000010010010001010000100000000000000000000100000000000000000000000000100000001110100000010000001000000000000000000100000000010101010100000000000101000000000010011000000000000000000000000000000000001100000000110100000000000010000000000001101001100100100000001000100010000001100000000000101010000000100000000100000000001000100010000000100001010000000000000001000001001100000010000000000000010000001000000010000000000100001000000010000100000010000000000000100000000000100000000000000100100000000000000001000001010010000010100000001000001110000101010000000010000000000000000000000001000000001000001000001101000100000010000000000100010000000101100000000010001000001000010010011000010000100010100000010001000000000000010001010000110010000000110|31|911^956^943^929",3700046
"0000000011010000000000000000000100000000000000000000000011110010001010000010010000100000010100010000011000000100001000001001000100001010000000100000000000010010000000000000000000000010000000000001000000100001000000000000111010000000000000000001101010000000000001000010010000001010000100100000000000001000100000000000000000000000000100000000110000000010000001000000000000000000100000000110101010100000000000111000000000000011000000000000000010000000000000000001100000000100100000000000010000000000001101001100100100001001000100010000001100000000000101010000000000001000100000000000000100000000000100001010001000000000000000001001100000010000000001000010000001000000000000000000100001000000010000100000010000000000000100000000100000000000000001100100001000001000001100001000000000010000000001000001110000101010000000010000000000000000000000001000000001000001000001001000000000010100000000100001000000100100000000011000000001000000010011000010001100010000000010000000000010000010001010011100010000000110|31|911^956^943^929",3700047
"0000001000000100000000010000000100000000000010010100000100101100000000000000000000000000010100010001000101000000000001101000001001001000100001001001000000010000000001000010001000000000000001000000000000000000001000000001111000011000000000000001000000000001001000100110000000000000001000100000010000110000000110000000000000001000000100000001110000000010000000000001000001000000100100000000011000000000000000000100000000000010000000000100000010000000000000000000100000000000000000100100010000000000001000001000000100000100000100000000001000101000100101010000000000000000100010000000001010000010000000100010101100000000010000000000100000010100000000000000000000000000010000000000000100000000100001100000100000000000100000100001010001001001000100010100000001000000101001000000000000000000001000100001110011001000000001000000000000000001000000000000000000000001000000000000000100010000100000100010000010001100000000010000010000000010000010000011000100110000000110001000000000000000000000000000000001000000|31|911^956^943^939",3700048
"0000001000000100100000000000000100000001100000010000000000000100000000000000000110000000010000010100000001000000100001101000100001001000100001001010000000010000000001000010011000000000000001000000000100000001001000000001111000011000000000000001100000000001001000010010100000001000010000100000000000010000000010000000000000000000000100000001110000000010000000010011000000100000101000000010010001000000000000100100000000000011000001000100000011000000000000000000100000010000000000100000010000000000101000001000000100100100000000000000001000001000100001010000000100100000000010000000001010000000000000000010101100000000000000000000000000010000000000000000000000000000010000000000001100000000100000100000000000000000100000000001011001001001100100010100000001000000001001000000000000000000000000101001000011000000000000000000000000000000000000000000000000000001010000000000000100001000100000100010000010000100000000010000000001000010000110000011000100110010000110001000000010000000000000000110000001000000|31|911^956^943^939",3700049
"0000000011010000000000000000000100000000001000000000000010000010001010000000010000100000010100010000001000001100000000001001000100001010000000100000000000010010000000000000000000000000000000000001001000100101000000000000111010000000000000000001101010000000000000000010010010001010000100000000000000000000000000000000000000000000000100000001110100000010000001000000000000000100100000000010101010100000000000101000000000010011000000000000000010000000000000000001100000000110100000000000010000000000001101001100100100000001000100010000001100000000000101010010000100000000100000000000000100010000000100001010001000000000001010001001100000010000000000000010000001000000010000000000100001000000010000100000010000000000000100000000000100000000000001100100000000000000001000001010010000010100000001000001110000101010000000010000000000000000000000001000000001000001000001001000100000010000000000100010000000100100000000010001000001000010010011000010000100010100000010001000000000000010001000000110010000000110|31|911^956^943^929",3700050
"0000000000010000000000000000000100000000000000000000000011000010001010000000010000100000010100010000000000000100000000001000000100001010000000000000000000010011000000000000000100000000000000000101001000100101000000001000111010001000000000000001101010000100000000000010010000001010000100000000000000001010100000000000000000000000000100000001110000000010010001000000000000000000100000000010001010100000000000101000000000010011000000000000000010000000000000000001100000000110100000000010010000000000001101001100100100000001000100010100001000000000000101010000000000000000110000000000000100010000000100001000001000000000001000001001100000010000000001000010000001000000010000000000100001000000010000100000010000000000000100000000100000000000000001100100000000000000001000001000100000010100000000000001110000101000000000010000000000000000000000001000000001000001000001001000100000010000000000100010000000000100000000010001000001000010010011000010000100010000000010001000000000000010001010010100010000000100|31|911^956^943^929",3700051
"0000101000001000000000000000000100000000000010010000000000001100000000000000000100000000010000000001000001000000000001101000001001001000100000001010000000010000000001000011001000000000000000000100000100000001011000000000111000011000001000000001100000000001001000000010100000001000010010101000000001010000000110000001000000000000000100000001110000000010010000100010000001000100100000001000010000000000000000000100000000000011000000000100000010000000000000000000100000010000000000100000010000000000101000001001000100000100000000000000001000001001100101010000000100000000100010000000001010000010100000000010101100000000000000000010000000010000000000000000000000010000010000000000001110000000000000100001001000000000100000000011010000001001000100010100000000000000101011000100000010000000000000101001010011000000000000000000000000000010000000000000000000000001010000000000000100010000000000100010000000000101000000010000000001000010100010000011010100110010000010001000000010000000000000000010000001000000|31|911^956^943^939",3700052
"0000001000000100000000000000000100000001100000010000000000000100000000000000000100000000010000000100000001000000100001100000100001001000100001001010000000010000000010000010011000000000000001000000000100000001001000000001110000011000000000000001100000000001001000010010100000001000010000100000000000010000000010010000000000000000000100000001110000000010000000010011000000100000101000000000010000000000000000100100000000000011000001000100000011000000000000000000100000010000000000100000010000000000101000001000000100100100000000000000001000001000100001010000000100000000100010000000001010000000000000000010101100000000000000000000000000010000100000000000100000000000010000000000001100000000100000100000000000000000100000000000001001001001100100010100000001000000001001000000000000000000000000101001010011000000000000000000000000000000000000000000000000000000010000000000000100001000100000100010000010000100000000010000000001000010000110000011000100110010000110001000000010000000000000000110000001000000|31|911^956^943^939",3700053
"0000000011010000000000000000000100000000000000000000000011000010001010000000010100100000010100010000001000000100000000001001000100001010000000100000000000010010000000000000000000000000000000000101001000100101000000000000111010000000000000000001101010000000000000000010010000001010000100000000000000000010100000000000000000000000000100010001110000000010000001000000000000000000100000000010101010000000000000101000000000010011000000000000000010000000000000000001100000000110100000000000010000000000001101001100100100000001000100010000001100000000000001010010000100000000100000000000000100010000000100001010001000000000001000001001100000010000000000000010000001000000010000000000100001000000010000100000010000000000000100000000000100000000000001100100000000000000001000101000010000010100000001000001110000100010000000010000000000000000000000001000000001000001000001001000100000010000000000100010000000100100000000010000000001000010010011000010000100010100000010001000000000000010001010010110010000000110|31|911^956^943^929",3700054
"0000101000001100000000000000000100000000000010010000000100101100000000000000000100000000010000000001000001000000000001101000001001001000100001001010000000010000000001000011001000000000000001000100000100000001001000000000111000011000001000000001100000000011001000000010100000001000010010101000000001010000000110000001000000000000000100000001110000000010000000100010000001000100100000001000010000000000000000000100010000000011000000000100000010000000000000000000100000010000000000100000010000000000101000001001000100000100000000000000001000001001100111010000000100000000100010000000000010000010100000000010101100000000000000000010000000010000000000000000000000010000010000000000001110000000000000100001001000000000100000000011010000001001000100010100000000000000101011000000000010000000000000101001010011000000000000000000000000000010000000000000000000000001010000000000000100010000000000100010000010000101000000010000000011000010100010000011010100110010000010001000000010000000000001000010000001000000|31|911^956^943^939",3700055
"0000001000000100000000010000000100000000000010010100000000001100000000000000000000000000010100010001000001000000000001101000101001001000100001001001010000010000000001000010001000000000000001000000000000000001011000000011111000011000000000000001000000000000001000100110000000000000001000100000010000110000000110000000000000001000000100000001110000000010000000000011000001000000100100010000011000000000000000000100000000000000000000000100000010000000000000000000100000010000000000100000010000000000001000001001000100000100000100000000101000001000100100010000000000000000100010000000000110000010000000100010101100000000010000000000100000010000000000000000000000000000010000000000001100000000100000100000100000000000100000100001010001001001000110010100000001000000101001000000010000000000001000100001110010001000000101000000000000000001000000001000000000000001000000000000000100010000100000100010000010001100000000010000000000000010000010000011000100110000000010001000000000000001000000000000000001000000|31|911^956^943^939",3700056
"0000000000000100000000010000000100000000000010010100000000101100000000000000000000000000010100010001000101000000000001101000001001001000100001001001000000010000000001000010001000000000000001000000000000000000001000000001111000011000000000000001000000000001001000100110000000000000001000100000010000110000000110000000000000001000000100010001110000000010000000000001000001000000100100000000011100000000000000000100000000000010000000000100000010000000000000000000100000000000000000100100010000000000001000001000000100000100000100000000001000101000100101010000000000000000100010000000001010000010000000100010101100000000010000000000100000010000000000000000000000000000010000000000000000000000100000110000100000000000100000100001010000001001000100010000000001000000101001000000000000000000001000100001110011001000000101000000000000000001000000000000000000000001000000000000000100010000100000100010000010001100000000010000000000000010000010000011000100110000000110001000000000000000000000000000000001000000|31|911^956^943^939",3700057
"0000001000000100000000000000000100000000000011010000000010101100000000001000100000001010010000010000000000000010100001101000001001001000100001001000000000010000100001000010001000000000000001000101000101000101000000000001111000001000000001000001100000000001001100000010100000001000010000000000000000010000000100000000000000001000000100000011110000000010000000000001000001000111100000000000010000000000000000000100000000000011100000000100000010000000000000000000100000100000000000010100110000000001101000001000000100000100000000000000001000000000000101100000000100010000100000000000001000000110010000000010001100000000010000000010000000010000000000000000000000000000010000100000000100000000100001100100100000100000100000000101000001001001100100010100000000000000100001000000000000001000000000100001010011000001000001000000000000000000000000000000000010000001010000000000000100010000000000100010000010001100000000010000000001000000000010001011000100110010000010001000000000000000000000000000000001000000|31|911^956^943^939",3700058
"0010000000000100000000000000000100000000000011010000000010101100000000001000100000001010010000010000000000000010100001001000001001001000100001001000000000010000100001000010001000000000000001000101000101000101000000000001111000001000000001000001100000000001001100000010100000001000010000000000000000010000000100000000000000001000000100000011110000000010000000001001000001000101100000000000010000000000000000000100000000000011100000000100000010000000000000000000100000110000000000010100110000000001101000001000000100000100000000000000001010000000000101100000000100010000100010000000001010000010010000000010001100000000010000000010000000010000000000000000000000000000010000100000100100000000100001100000100000100000100000000101010001001001100100010100000000000000100001000000000000001100000000100001010011000001000001000000000000000000000000000000000000000001010000000000000100010000000000100010000010001100000100010000000001000000000000001011000100110010000010001000000000000000000000000000000001000000|31|911^956^943^939",3700059
"0001001000000100000000010000000100000000100010010000000000101100000000000000000000000000110100010001000001000000000001101000001001001000100001001001000000010000000001000010001000000000000001000000000000000001000000000001111000011000100000000001000100000000001000100110100000000000001000101000010000010000000110000000100000000000000100000001110000010010000000000001000001000000100000000000011000000000000000000100000000000010000000000100000010000000000000000000100000000000000000100000010000000000001000001000000100000100000100000000001100001000100101010000000000000000100010000000001010000011000000100010101100000100000000000000100000010000000000000000000000000000000000000000001100000000100000100001101000000000100000100001010001001001000100010100000001000000101000000000000000000000000010110001010001001000000101000000000001000001000000000000000000000001000000000000000100010001100000100010010010001100000000010000000000000010000011000011000100110000000010001000000100001001000000000000000010000000|31|911^956^943^939",3700060
"0000000011010000000000000000000100000000000000000000000011000010001010000000010000100000000100010000000000000000000000001001000100001010000000100000000000010010000000000000000000000000000000000101001000100101000000000000111010000000000000000001101010000000000000000000010000001010000100000000000000000010100000000000000000000000000100000001110000000010000001000000000000000000100000000010101000100000000000101000000010010011000000000000000000000000000000000001100000000110100000000000010000000000001101001100100100001001000100010000001100000000000101010010000100000000100000000000000100000000000100001010001000000000001000001001100000010000000000000010000001000000010000000000100001000000010000100000010000000000000100000000000100000000000001100100000000000000001000001000010000010100000001000001110000101010000000010000000000000000000000001000000011000001000001001010100000010000000000000010000000100100000000010001000001000010010011000010000100010100000010001000000000000010001010010110010000000110|31|911^956^943^929",3700061
"0000001000011000000000000000000100001000000010010000000000001100000000000000000000000000010000000000000001000000000011101000001001001000100001000010000000010000000000000010000000000000000001000100000100100001001000100000111000001000001000000001100000000001001000000010100000001000010010101000010000010000000110000000000000000000000100000001110000000010000000000011000001000100100000000000010000000000000000000100000000000011000000000110000010000000000000000000100000010000000000100100010000000000101000001001001100000100000000000000001000001000100101010000000100000000100011000000001010000010000000000010101100100001000000000010000000010000000000000000000000000000000100000000001110000000100000100001101000000000100000000001010001001000000100010100000000000000101001000000001000001000000000101001010011000000000000000000000000000000000000000000000100000001010000000000000100010000100000100010000010000000000000010000000001000000000010000011000100110010000010001000000011000000000000000010000001000100|31|911^956^943^939",3700062
"0000001000001100000000001000000100000000000010010000000000001100000000000000000000000000010000000000000001000000000001101000000001001000100001000010000000010000000000000010000000000000000000000100000100100001001000100000111000001000001000000001100000000001001000000010100000001000010010101000010000010000000110000000000000000000000100000001110000000010000000000011000001000100100000000000010000000000000000000100000000000011000000000110000010000000000000000000100000010000000000100100010000000000101000001001001100000100000000000000001000001000100101010000000100000000100011000000001010000010000000000010101100000001000000000010000000010000000000000000000001000000000100000000000110000000000000100001001000000000100000000001010001001000000100010100000000000000101001000000101000001000000000101001010011000000000000000000000000000000001000000000000100000001010000000000000100000000100000100010000010000100000000010000000001000000000010000011000100110011000010001000000011000000000000000010000001000100|31|911^956^943^939",3700063
"0000000011010000000000000000000100000000000000000000000011000010001010000000010000100000000100010000000000000100000000001001000100001010000000100000000000010010000000000010000000000000000000000101001000100101000000000000111010000000000000000001101010000000000000000010010000001010000100000000000000000010100000000000000000000100000100000001110000000010000001000000000000000000100000000010101010100000000000101000000010010011000000000000000010000000000000000001100000000110100000000000010000000000001101001100100100000001000100010000001100000000000101010010000100000000100000000000000000010010000100001010001000000000001000001001100000010100000000000010000001000000010000000000100001000000010000100000010000000000000100000000000100000000000001100100000000000000001000001000010000010100000001000001110000101010000000010000000000000000000000001000000001000001000001001000100000010000000000100010000000100100000000010001000000000010010011000010000100010100000010001000000000000010001010010110010000000110|31|911^956^943^929",3700064
"1000000000001000000001000000000100000000000010010000000000001000000000000000000100000000010000000000000001000000000001101000001001001000100001001010000000000000000001000010001000000000000001000100000100000001011000000000111000011000001000000001100010000001001000000010000000001000010010001000010001010000000110000000000000001000000100000001110000000010000000000001000001000100100000000000010000000000000000000101000000000011000000000100000010000000000000000100100000000000000000100100010000000000101000001001001100000100000000000000001000010001100101010000000100000000100010000000001010000010000000000010101100000000000000100010000000010010000000000000000000010000010000000000001110000000100000100001101000000000100000000011010000001001000100010101000000000000101001000000000000000000000000101001010001000000000000000000000000000000000000000000000100000001010000000000000100010000100000100010000010000000000000010000000001000010000010000011000100010010000010001000000010000000000000000010000001000000|31|911^956^943^939",3700065
"1000001000001000000001000000000100000000000000010000000000001000000000000000000100000000010000000000000001000000000001101000001001001000100001001010000000010010000001000010001000000000000001000100000100000001001000000000111000011000001000000001100000000001001000000010000000001000010010001000010001010000000110000000000000000000000100000001110000000010000000000001000001000100100000000000010000000000000000000000000000000011000000000100000010000000000000000000100000000000000000100100010000000000101000001001001000000100000000000000001000000001100101010000000100000000100010000000001010000010000100000000101100000000000000100010000000010010000000000000000000010000010000000000001110000000100000100001101000000000100000000011010000001001000100010100000000000000101101000000000000000000000000101011010011000000000000000000000000000000000000000000000100000001010000000000000100010000100000100010000010000000000000010000000001000010000010000011000100110010000010001000000010000000000000000010000001000000|31|911^956^943^939",3700066
"0000000001010000000000000000000100000000000000000000000011000010001010000000010000100000010100010000000000000100000000001000000100001000000000000000000000010010000000000000000000000000000000000101001000100101000000001000111010001000000000000001101010000001000000000010010000001010000100000000000000001010100000000000000000000000000100000001110000000000110001000000000000000000100000000010001010100000000000101000000000010011000000000000000010000000000000000001100000000110100000000010010000000000001101001100100100000001000100010100001000000000000101010000000000000000100000000000000100010000000100001010001000000000001010001001100000010000000000000000000001000000010000000000100001000000010000100000010000000000000100000000100100000000000001100100000000000000001000001000100000010100000000000001110000101000000000010000000000100000000000001000000001000001000001001000100000010000000000100010000000000100000000010001000001000010010011000010000100010000000010001000000000000010001010010010010000000100|31|911^956^943^929",3700067
"0000001000000100000000000000000100000000000011010000000010101100000000001000100000001010010000010000000000000010100001001000001001001000100001001000000000010000100001000010001000000000000001000101000101000101000000000001111001001000000001000001100000000001001100000010100000001000010000000000000000010000000100000000000000001000000100000011110010000010000000000001000001000001100000000000010000000000000100000100000000000011100000000100000010000000000000000000100000110000000000010100110000000001101000001000000100000100000000000000001000000000000101100000000100010000100010000000001010010010010000000000001100000000010000000010000000010000000000000000000000000000010000100000000100000000100001100000100000100000100000000100010001001001100100010100000000000000100001000000000000001000000000100001010011000001000000000000000000000000000000000000000000000001010000000100000100010000000000100010000010001100000000010000000001000000000010001011000100110010000010001000000000000000000000000000000001000000|31|911^956^943^939",3700068
"0000001000001100000000000000000100000000000010010000000000001100000000000000000100000000010000000000000001000000000001101000001001001000100001001010000000010000000001000010000000000000000001000100000100100000001000100000111000001000001000000001101000000001001000000010100000001000010010101000010000010000000110000001000000000000000100000001110000000010000000000011000001000100100000000000010000000000000000000100000000000011000000000110000010000000000000000000100000010000000000100100010000000000101000001001001100000100000000000000001000001000100101010000000100000000100011000000001010000010000000000010100100000000000000000010000000010000000000000000000000000000000100000000000110000000100000100001101000000000100000000001000001001001000100010100000000000000101001000000001000001000000000101001010011000000000000000000010000000000000000000000000100000000010000000000000100010000100000100010000010000100000000010000000001000000000010000011000100110010000010001000000011000000000000000010000001000100|31|911^956^943^939",3700069
"0000001000001000000000000000000100000000000010010100000000001100000000000000000100000010010000000010000001000000000001101000001001001000100001101010000000000000000001000010001000000000000001000100000100000001001000000000111000011000001000000001101000000001001000010010100000001000010010101000000001010000000110001000000000000000000100000001110000000010000000000011000001000100100000000000010000000000000000000100000000000011000000000100000010000000000000000000100000011000000000100100010000000000001000001001001100000100000000000000001000000001100101010000000000000000100010000000000010000010000000000010100100000000000000000010000000010000000000000000000000010000010000000000001110000000100000100001101000000000100000000011010000001001000100010100000000000000101001000000000000000000000000101001010011000000000000000000000000000000000000000000000100000001010000000000000100010100100000100010000010000100000000010000000001000010000010000011000100110000000010001000000010100000000000000010000101000000|31|911^956^943^939",3700070
"0000101000001000000000000000000100000000000010010000000000001100000000000000000100000000010000000001000001100000000001101000001001001000100001001010000000010000000001000011001000000000000001000100000100000001011000000000111000011000001000000001100000000000001000000010100000001000010010101000000001010000000110000001000000000000000100000001110000000010010000100010000001000100100000001000010000000000000000000100000000000011000000000100000010000000000000000000100000010000000000100000010000000000101000001001000100000100000000000000001000000001100101010000000100000000100010000000001010000010100000000010101100000000000000000010000000010000000000000000000000010000010000000000000110000000000000100001001000000000100000000011010000001001000100010100000000000000101011000000000010000000000000101001010011000000000000000000000000000010000000000000000000000001010000000000000100010000000000100010000010000101000000010000000001000010100010000011010100110010000010001000000010000000000000000010000001000000|31|911^956^943^939",3700071
"0000000011010000000000000000000100000000000000000000000111000010001010000000010000100000010100110000001100000100000000001001000100001000000000100000000000010010000000000000000000000000000000000101000000100101000000000000111010000000000000000001101010000000000100000010010000001010000000000000000000001010100000000000000000000100000100000001110000000010000001001100000000000000100000000010001010100000000000101000000000010011000000000000000010000000000000000000100000000110101000000000010000000000001101001100100100000001000100010000001100000000000100010000000100000000000000000000000100010000001100001010001000000000001000001000100000010000000001000010000001000000010000000000100001000000010000100000010000000000000100000000100100000000100001100100000000000000001000001000000000010100000001000001010000101010000000010000000000000000000000001000000001000001000001001000100000010000000000100000000000100100000000010001000001000010010011000010000100010000000010001000000000000010000010010100010000000110|31|911^956^943^929",3700072
"0000001000001000000000001000010100000000000010010000000000001100100000000000000100000000010000000000000001000000000001101000001001001000100001001010000000010000000001000010001000000000000001000100000100000001001000000000111000011000000000000001100000000001001000000010100000001000010010101000010001010000000010000000000000000010000100000001110000000010000000000011000001000100100000000000010000000000000000000100100000000011000000000100000010000000000000000000100000010000000000000100010000000000101000001001001100000100000000000010001000000001110101010000000100000000100010000000001010000010000000000010101100000000000000000010000000010000000000000000000000010000010000000000001110000000100000100001101000000000100000000011010000001001000100010100000000000000101001000000000000000000000100001001010011000000000000000000000000000000000000100000000100000001010000000000000100010000100000100010000010000010000000010000000001000010000000000011000100110010000010001000000010000000000100000010000001000000|31|911^956^943^939",3700073
"0000000011010000000000000000000100000000000000000000000111000010001010000000010000100000010100110000001100000100000000001001000100001000001000100000000000010000000000000000000000000000000000000101000000100100000000000000111010000000000000000001101010000000000100010010010000000010000100000000000000001010100000000000000000000000000100000001110000000010000001001000000000000000100000000010001010100000000000101000000000010011000000000000000010000000000000000000100000000110100000000000010000000000001101001100100100000001000100010000001100000000000101010000000100000000000000000000000100010000001100001010001000000000001000001001100000010000000001000010000001000000010000000000100001000000010000000000010000000000000100000000100100000000100001100100000000000000001000001000000000010100000001000001110000101010000000010000000000000000000000001000000001000001000001001010100000010000000000100000000000100100000000010001000001000010010010000010000100010000000010001000000000000010001010010100010000000110|31|911^956^943^929",3700074
"0000001000000100000000010000000100000000000010010100000000101100001000000000000000000000010100000001000001000000000001101000101001001000100001001001010000010000000001000010001000000000000001000000000000000001001000000001111000011000000000000001000000000001001000000110000000000000001000100000010000110000000110000000000000001000000100000001110100000010000000000011000001000000100100010000011000000000000000000100000000000010000000000100000010000000000000000000100000000000000000100000010000000000001000001001000100000100000100000000001000101000100100010000000000000000100010000000001110000010000000110010101100000000000000000000100000010000000000000000000000000000010000000000001100000000100000100000100000000000100000100001010001011001000100010100000001000000101001000000010000000001001000100001100011001000000101000000000000000001000000000000000010000001000000000000000100010000100000100010000010001100000000010000000000000010000010000011000100110000000010001000000000000001000000000000000001000000|31|911^956^943^939",3700075
"0000000011010000000000000000000100000000000000100000000011000010001010000000010000100000010100010000000100000100000000001000000100001000000000000000000000010010000000000000000000000000000000000101001001100101000000001000111010001000000000000001101010000000000000000010010000001010000100000000000000001010110000000000000000000000000100000001110000000010010001000000000000000000100000000110000010100000000000101000000000010011000000000000000010000000000000000001100000000110100000000010010000000000001101001100100100000001000100010100001000000000000101010000000000000000100000000000000100010000000100001010001000000000001000001001100000010000000001000010000001000000010000000000100001000000010000100000010000000010000100000000100100000010000001100100000000000000001000001000100000010100000000000001110000101000000000010000000000000000000000001000000001000001000001011000100000010000000000100010000000000100000000010001000001000010010011000010000100010000000010000000000000000010001010000110010000000100|31|911^956^943^929",3700076
"0000000011010000000000000000000100000000000000000000000001000010010010000000000000100000010100010000001000000100000000001001000100001000000000100000000000010010000000000000000000000000000000000101001000100101000000000000111010000000000000000001101010000000000100000010010000001011000110000000000000001010100000000000000000000000000100000001110000000010000001000000000000000000100000000010001010100000100000101000000000010011000000000000000010000000000000000000100000000110100000000000010000000000001101001100100100000001000100010000001100000001000101010000000100000000000000000000000100010000001100001010001000000000001000001001100000010000100001000010000001000000010000000000000001000000010000100000010000000000000100000000100100000000100001000100000000000000001000001000000000010100000001000001110000101010000000010000000000000000000000001000000001000001000001001000100000010000000000100010000000100100000000010001000001000010010011000010000100010000000010001000000000000110001010010100010000010100|31|911^956^943^929",3700077
"0000001000000100000000010000000100000000000010010100000000101100000000000000000000000000010100010001000001000000000001101000001001001000100001001001000000010000000001000010001000000000010000000000000000000001001000001001111000011000000000000001000000000001001000100110000000000000001000100000010000010000000110000000000000001000000100000001110000000010000000000011000001000000100000000000011000000000000000000100000000000010000000000100000010000000000000000000100000000000000000100100010000000000001000001000000100000100000000000000001000000000100001010000000000000000100010000000001010000010000000000001101100000000010000000000100000010000000000000000000000000000010000010000001100000000100000100000100000000000100000100001010001001001000100010100000000000000101001000000000000000000001010100001110011001000000101000000000000000001000000000000000000000001000000000000000100010000100000100010000010001100000000010000001000000010000010000011000100110000000010001000000000000001000000000000000001000000|31|911^956^943^939",3700078
